
Scan Time:     2024-04-09 10:56:28
Target File:   /home/kali/sync/dora.bin
MD5 Checksum:  d58d75d707e56b378367c301cc317aee
Signatures:    445
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
595314        0x91572         EFS2 Qualcomm filesystem super block, little endian, , NOR version 0x795c, -2061445897 blocks, 0x-200882e9 pages per block, 0x7ddff77d bytes per page
595698        0x916F2         EFS2 Qualcomm filesystem super block, little endian, , NAND version 0x4c4d, -2061448587 blocks, 0x5dd775d7 pages per block, 0x5dd77565 bytes per page
596815        0x91B4F         PC bitmap,
598318        0x9212E         LZMA compressed data, properties: 0x89, dictionary size: 0 bytes, uncompressed size: 0 bytes
599563        0x9260B         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
599806        0x926FE         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
600193        0x92881         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
600484        0x929A4         LZMA compressed data, properties: 0xC7, dictionary size: 0 bytes, uncompressed size: 0 bytes
601252        0x92CA4         LZMA compressed data, properties: 0x88, dictionary size: 0 bytes, uncompressed size: 0 bytes
602452        0x93154         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
605863        0x93EA7         LZMA compressed data, properties: 0xCF, dictionary size: 0 bytes, uncompressed size: 0 bytes
605911        0x93ED7         LZMA compressed data, properties: 0xC7, dictionary size: 0 bytes, uncompressed size: 0 bytes
608758        0x949F6         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
611083        0x9530B         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
611449        0x95479         LZMA compressed data, properties: 0x87, dictionary size: 0 bytes, uncompressed size: 0 bytes
611542        0x954D6         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
611683        0x95563         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
611872        0x95620         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
612054        0x956D6         EFS2 Qualcomm filesystem super block, little endian, , NAND version 0x5515, 0 blocks, 0x0 pages per block, 0x0 bytes per page
612544        0x958C0         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
612640        0x95920         Intel x86 or x64 microcode, pf_mask 0x00, 0000-00-00, size 2048
612787        0x959B3         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
613081        0x95AD9         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
613180        0x95B3C         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
613543        0x95CA7         EFS2 Qualcomm filesystem super block, big endian, , NOR version 0x0, -715827883 blocks, 0x14210 pages per block, 0x-3cb2c6ec bytes per page
614407        0x96007         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
615422        0x963FE         Broadcom firmware header Corporatio 8ã. Model: ¶×e¶\4bIUÕSmu×là. Firmware version: .
616649        0x968C9         Broadcom firmware header Corporatio ]ÛdõÛm¶Ûm¶Ûm¶Ûmµm¶Ûm¶WL²È 8. Model: ¶Ûm¶Ûm¶Ùm¶Ûmu,². Firmware version: .
616703        0x968FF         Broadcom firmware header Corporatio e¶Ûm¶Ûm¶Ûd A	Ûm¶Ûm¶ÛmÖ<²È ã. Model: Ûm¶Ûm¶Û. Firmware version: e¶ÛmeÛmµËe¶Ûm¶ÛdóÏ=Ûm¶Ûm¶Ûl°E%Ûm¶Ûm¶Û.
620453        0x977A5         Broadcom firmware header Corporatio . Model: . Firmware version: .
620750        0x978CE         Broadcom firmware header Corporatio . Model: . Firmware version: .
620804        0x97904         Broadcom firmware header Corporatio . Model: . Firmware version: .
622029        0x97DCD         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
624489        0x98769         EFS2 Qualcomm filesystem super block, little endian, , NAND version 0x344d, -751546925 blocks, 0x4dd3344d pages per block, 0x344dd334 bytes per page
625762        0x98C62         LZMA compressed data, properties: 0xD0, dictionary size: 0 bytes, uncompressed size: 0 bytes
626724        0x99024         EFS2 Qualcomm filesystem super block, little endian, , NOR version 0x6994, 1996488704 blocks, 0x0 pages per block, 0x0 bytes per page
628821        0x99855         EFS2 Qualcomm filesystem super block, little endian, , NAND version 0x75dd, 1162941509 blocks, 0x-2d7b92a3 pages per block, 0x49cff33c bytes per page
629236        0x999F4         LZMA compressed data, properties: 0xC7, dictionary size: 0 bytes, uncompressed size: 0 bytes
629284        0x99A24         LZMA compressed data, properties: 0xC7, dictionary size: 0 bytes, uncompressed size: 0 bytes
629572        0x99B44         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
629970        0x99CD2         EFS2 Qualcomm filesystem super block, little endian, , NAND version 0x74dd, -999220025 blocks, 0x-63088221 pages per block, 0x711cc771 bytes per page
631153        0x9A171         LZMA compressed data, properties: 0xC7, dictionary size: 0 bytes, uncompressed size: 0 bytes
631201        0x9A1A1         LZMA compressed data, properties: 0xC7, dictionary size: 0 bytes, uncompressed size: 0 bytes
631489        0x9A2C1         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
631537        0x9A2F1         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
632164        0x9A564         LZMA compressed data, properties: 0x88, dictionary size: 0 bytes, uncompressed size: 0 bytes
632235        0x9A5AB         LZMA compressed data, properties: 0xD0, dictionary size: 0 bytes, uncompressed size: 0 bytes
632305        0x9A5F1         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
632398        0x9A64E         LZMA compressed data, properties: 0x8A, dictionary size: 0 bytes, uncompressed size: 0 bytes
632540        0x9A6DC         Broadcom firmware header Corporatio . Model: . Firmware version: }ÄÊ.
632774        0x9A7C6         Broadcom firmware header Corporatio . Model: . Firmware version: .
633127        0x9A927         LZMA compressed data, properties: 0x8A, dictionary size: 0 bytes, uncompressed size: 0 bytes
633172        0x9A954         PC bitmap,
633223        0x9A987         LZMA compressed data, properties: 0x92, dictionary size: 0 bytes, uncompressed size: 0 bytes
634034        0x9ACB2         Broadcom firmware header Corporatio . Model: bÀ. Firmware version: .
634177        0x9AD41         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
634652        0x9AF1C         Broadcom firmware header Corporatio . Model: c. Firmware version: .
634699        0x9AF4B         LZMA compressed data, properties: 0x8B, dictionary size: 0 bytes, uncompressed size: 0 bytes
635080        0x9B0C8         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
635555        0x9B2A3         Broadcom firmware header Corporatio . Model: @Î. Firmware version: .
635912        0x9B408         Broadcom firmware header Corporatio dbÀ. Model: . Firmware version: .
635999        0x9B45F         Broadcom firmware header Corporatio  . Model: . Firmware version: .
636035        0x9B483         Broadcom firmware header Corporatio . Model: . Firmware version: .
636704        0x9B720         Broadcom firmware header Corporatio . Model: C. Firmware version: .
636941        0x9B80D         Broadcom firmware header Corporatio . Model: à. Firmware version: .
636988        0x9B83C         LZMA compressed data, properties: 0x8B, dictionary size: 0 bytes, uncompressed size: 0 bytes
637130        0x9B8CA         Broadcom firmware header Corporatio . Model: . Firmware version: .
637177        0x9B8F9         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
637270        0x9B956         LZMA compressed data, properties: 0x8B, dictionary size: 0 bytes, uncompressed size: 0 bytes
640303        0x9C52F         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
640539        0x9C61B         LZMA compressed data, properties: 0x51, dictionary size: 0 bytes, uncompressed size: 0 bytes
